EmployeeNumber,Department,JobRole,MonthlyIncome,OverTime,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Churn_Probability,Risk_Tier,Replacement_Cost,Attrition
405,Research & Development,Laboratory Technician,1420,No,0,3,3,0.8419257434582822, High Risk,8520,Yes
406,Sales,Sales Executive,8020,No,11,2,2,0.09956155995266311, Low Risk,48120,No
407,Research & Development,Laboratory Technician,3688,No,1,4,3,0.09414361221979262, Low Risk,22128,No
408,Research & Development,Manufacturing Director,5482,No,4,2,3,0.033599409402774894, Low Risk,32892,No
410,Sales,Manager,16015,No,22,2,3,0.08505950391913034, Low Risk,96090,No
411,Sales,Sales Representative,1200,No,0,3,3,0.7729940096667804, High Risk,7200,No
412,Research & Development,Healthcare Representative,5661,No,8,1,3,0.11954247870496819, Low Risk,33966,No
416,Sales,Sales Executive,6929,No,8,4,2,0.11312667585839663, Low Risk,41574,No
417,Research & Development,Healthcare Representative,9613,No,18,4,2,0.030478276827907443, Low Risk,57678,No
419,Research & Development,Laboratory Technician,5674,No,9,2,3,0.07223117937400211, Low Risk,34044,No
420,Sales,Sales Executive,5484,No,13,3,2,0.0568091327164947, Low Risk,32904,No
421,Research & Development,Research Director,12061,No,10,2,3,0.052382446966110933, Low Risk,72366,No
422,Research & Development,Healthcare Representative,5660,Yes,5,3,3,0.08867685167893702, Low Risk,33960,No
423,Research & Development,Research Scientist,4821,Yes,5,4,3,0.13643965323714174, Low Risk,28926,No
424,Human Resources,Human Resources,6410,No,2,1,3,0.37160531461907903, Medium Risk,38460,No
425,Research & Development,Laboratory Technician,5210,No,24,1,3,0.03979580001006318, Low Risk,31260,No
426,Research & Development,Research Scientist,2695,Yes,2,4,1,0.18808625416579955, Low Risk,16170,No
428,Research & Development,Manager,11878,No,10,2,3,0.07883537558456773, Low Risk,71268,No
429,Research & Development,Manager,17068,Yes,21,1,3,0.06813407335497809, Low Risk,102408,No
430,Research & Development,Laboratory Technician,2455,No,8,4,3,0.08356749497545718, Low Risk,14730,No
431,Research & Development,Healthcare Representative,13964,Yes,7,3,3,0.1332872594236127, Low Risk,83784,No
433,Research & Development,Research Scientist,4941,No,8,2,2,0.5210675263672948, Medium Risk,29646,Yes
434,Research & Development,Research Scientist,2478,Yes,4,2,2,0.5390823222692203, Medium Risk,14868,No
436,Sales,Sales Executive,5228,Yes,13,2,3,0.19155906944121212, Low Risk,31368,No
437,Sales,Sales Executive,4478,Yes,5,3,3,0.23041832337634977, Low Risk,26868,No
438,Sales,Sales Executive,7547,No,7,4,3,0.07635729184477849, Low Risk,45282,No
439,Research & Development,Research Scientist,5055,No,7,4,2,0.15585465184939618, Low Risk,30330,No
440,Research & Development,Research Scientist,3464,Yes,3,4,2,0.7680778522818089, High Risk,20784,Yes
441,Research & Development,Research Scientist,5775,No,10,4,3,0.06836193573038493, Low Risk,34650,No
442,Research & Development,Manufacturing Director,8943,No,10,3,3,0.08744037985654, Low Risk,53658,No
444,Research & Development,Manager,19272,No,21,4,3,0.04674032685590361, Low Risk,115632,No
445,Sales,Sales Executive,5238,Yes,1,3,2,0.6368301759917417, High Risk,31428,Yes
446,Sales,Sales Executive,4682,No,7,4,2,0.09584783857121405, Low Risk,28092,No
447,Research & Development,Research Director,18300,No,3,3,3,0.04605773134278368, Low Risk,109800,No
448,Research & Development,Laboratory Technician,5257,No,9,3,4,0.1229121493796948, Low Risk,31542,No
449,Sales,Sales Executive,6349,Yes,5,2,3,0.1246809304017443, Low Risk,38094,No
450,Research & Development,Research Scientist,4869,No,4,3,2,0.06496589073304182, Low Risk,29214,No
451,Research & Development,Healthcare Representative,9985,No,1,1,2,0.16260209359243, Low Risk,59910,No
452,Research & Development,Research Scientist,3697,No,10,4,3,0.059627421072527526, Low Risk,22182,No
453,Sales,Sales Executive,7457,Yes,4,4,2,0.12861794430479984, Low Risk,44742,No
454,Research & Development,Laboratory Technician,2119,Yes,7,1,2,0.7254002214157919, High Risk,12714,Yes
455,Research & Development,Laboratory Technician,3983,No,3,4,3,0.12728387089567966, Low Risk,23898,No
456,Sales,Sales Executive,6118,No,10,3,3,0.11221157746154192, Low Risk,36708,No
458,Sales,Sales Executive,6214,No,8,2,3,0.09140463619857972, Low Risk,37284,No
460,Research & Development,Manufacturing Director,6347,No,6,4,2,0.08475024775477694, Low Risk,38082,No
461,Research & Development,Research Director,11510,Yes,11,4,3,0.026987015780917792, Low Risk,69060,No
462,Research & Development,Manufacturing Director,7143,Yes,11,4,2,0.10745634076063708, Low Risk,42858,No
463,Sales,Sales Executive,8268,Yes,7,2,3,0.17257052142996546, Low Risk,49608,No
464,Research & Development,Manufacturing Director,8095,No,16,2,3,0.03743644127389533, Low Risk,48570,No
465,Research & Development,Research Scientist,2904,No,4,4,2,0.13116726462788197, Low Risk,17424,No
466,Research & Development,Manufacturing Director,6032,Yes,5,2,3,0.2040897345909336, Low Risk,36192,No
467,Sales,Sales Representative,2976,No,0,3,3,0.21644455562656556, Low Risk,17856,No
468,Research & Development,Research Director,15992,No,1,4,3,0.08706250488776082, Low Risk,95952,No
469,Sales,Sales Executive,4649,No,4,3,2,0.06676255242644612, Low Risk,27894,No
470,Human Resources,Human Resources,2696,Yes,3,3,3,0.23389360815874077, Low Risk,16176,No
471,Research & Development,Laboratory Technician,2370,No,8,2,3,0.10690067899011339, Low Risk,14220,No
473,Sales,Manager,12504,No,0,3,1,0.0978861944415598, Low Risk,75024,No
474,Research & Development,Research Scientist,5974,Yes,7,1,3,0.05201078785247459, Low Risk,35844,No
475,Sales,Sales Executive,4736,Yes,2,3,4,0.24126428533435257, Low Risk,28416,No
476,Sales,Sales Executive,5296,No,8,3,3,0.0851857336289629, Low Risk,31776,No
477,Research & Development,Healthcare Representative,6781,No,1,4,3,0.1498256988253, Low Risk,40686,No
478,Sales,Sales Representative,2174,Yes,3,2,3,0.5380427889029227, Medium Risk,13044,Yes
479,Sales,Sales Executive,6653,No,1,4,3,0.10426790755467677, Low Risk,39918,No
481,Sales,Sales Executive,9699,No,13,4,3,0.09137613709527878, Low Risk,58194,No
482,Research & Development,Healthcare Representative,6755,No,3,3,3,0.049453374625359314, Low Risk,40530,No
483,Research & Development,Laboratory Technician,2213,Yes,7,3,3,0.16029451409834433, Low Risk,13278,No
484,Sales,Sales Representative,2610,No,3,4,2,0.15647922786753485, Low Risk,15660,No
485,Sales,Sales Representative,2851,Yes,1,3,3,0.8639459961040967, High Risk,17106,Yes
486,Research & Development,Laboratory Technician,3452,No,5,1,3,0.11230859242499273, Low Risk,20712,No
487,Research & Development,Manufacturing Director,5258,No,1,3,4,0.11041524955861508, Low Risk,31548,No
488,Sales,Sales Executive,9355,No,8,2,3,0.613563980417626, High Risk,56130,Yes
491,Research & Development,Healthcare Representative,10496,No,4,4,3,0.07274902444489703, Low Risk,62976,No
492,Sales,Sales Executive,6380,Yes,6,3,3,0.6301464985618496, High Risk,38280,Yes
493,Research & Development,Research Scientist,2657,Yes,2,2,3,0.23578754820110967, Low Risk,15942,No
494,Sales,Sales Representative,2716,No,1,2,3,0.8332993012599981, High Risk,16296,Yes
495,Research & Development,Research Scientist,2201,No,3,4,3,0.2079861497594622, Low Risk,13206,No
496,Research & Development,Healthcare Representative,6540,No,1,2,3,0.24355530675883702, Low Risk,39240,No
497,Research & Development,Laboratory Technician,3816,No,5,2,3,0.11945556355433837, Low Risk,22896,No
498,Sales,Sales Executive,5253,No,7,4,3,0.17819655873002588, Low Risk,31518,No
499,Research & Development,Healthcare Representative,10965,No,5,3,3,0.06167728531097803, Low Risk,65790,No
500,Sales,Sales Executive,4936,No,7,4,2,0.10653653878784353, Low Risk,29616,No
501,Research & Development,Research Scientist,2543,No,2,3,3,0.08259054138993678, Low Risk,15258,No
502,Sales,Sales Executive,5304,Yes,5,4,2,0.6603296980004303, High Risk,31824,Yes
505,Research & Development,Manager,16659,Yes,5,4,3,0.07735150437714709, Low Risk,99954,No
507,Sales,Sales Executive,4260,Yes,5,3,4,0.09915536799731943, Low Risk,25560,No
508,Sales,Sales Representative,2476,No,1,2,3,0.36581234866935275, Medium Risk,14856,No
510,Research & Development,Research Scientist,3102,No,6,1,3,0.20381902695301712, Low Risk,18612,Yes
511,Research & Development,Research Scientist,2244,No,2,2,3,0.23616641018123666, Low Risk,13464,No
513,Sales,Sales Executive,7596,No,10,3,3,0.10047162231804498, Low Risk,45576,No
514,Research & Development,Research Scientist,2285,Yes,1,4,3,0.8297257675278655, High Risk,13710,Yes
515,Research & Development,Laboratory Technician,3034,No,18,1,2,0.10363083374702767, Low Risk,18204,No
516,Sales,Sales Executive,5715,No,5,2,3,0.0780945734659379, Low Risk,34290,No
517,Research & Development,Laboratory Technician,2576,No,5,1,3,0.06851922417431534, Low Risk,15456,No
518,Research & Development,Manufacturing Director,4197,Yes,1,2,2,0.18773985819864222, Low Risk,25182,No
520,Research & Development,Research Director,14336,No,25,2,3,0.06172447944851459, Low Risk,86016,No
521,Research & Development,Laboratory Technician,3448,No,1,3,3,0.11665929627963094, Low Risk,20688,No
522,Research & Development,Research Director,19406,No,4,1,2,0.03495267025717732, Low Risk,116436,No
523,Sales,Sales Executive,6538,No,3,3,3,0.08726900073725108, Low Risk,39228,No
524,Research & Development,Manufacturing Director,4306,No,13,1,1,0.10299521654446969, Low Risk,25836,No
525,Research & Development,Laboratory Technician,2258,No,3,4,3,0.1145184812219097, Low Risk,13548,No
526,Research & Development,Healthcare Representative,4522,Yes,5,3,3,0.08728390454154718, Low Risk,27132,No
527,Sales,Sales Executive,4487,Yes,5,4,3,0.2886352654295743, Low Risk,26922,No
529,Research & Development,Research Scientist,4449,Yes,13,3,3,0.058081051737461864, Low Risk,26694,No
530,Research & Development,Laboratory Technician,2218,No,4,1,3,0.1209786501506822, Low Risk,13308,No
531,Research & Development,Manager,19197,Yes,21,3,3,0.034620577751758426, Low Risk,115182,No
532,Sales,Sales Executive,13212,No,7,1,2,0.09234777046434284, Low Risk,79272,No
533,Sales,Sales Executive,6577,No,5,3,3,0.1312400513207208, Low Risk,39462,No
534,Sales,Sales Executive,8392,No,10,1,3,0.1214694243712522, Low Risk,50352,No
536,Research & Development,Laboratory Technician,4558,No,10,1,3,0.05378882741920318, Low Risk,27348,No
538,Research & Development,Laboratory Technician,4031,No,2,1,3,0.603009067139012, High Risk,24186,Yes
543,Research & Development,Manufacturing Director,7969,Yes,5,3,3,0.11031128393535043, Low Risk,47814,No
544,Research & Development,Research Scientist,2654,No,2,4,2,0.08852053876883335, Low Risk,15924,No
546,Research & Development,Manager,16555,No,5,4,1,0.05366863575975483, Low Risk,99330,No
547,Research & Development,Research Scientist,4556,No,5,3,3,0.18651746943502356, Low Risk,27336,No
548,Research & Development,Manufacturing Director,6091,No,5,4,3,0.14074767509140323, Low Risk,36546,No
549,Research & Development,Manager,19566,No,29,1,1,0.0974867950642268, Low Risk,117396,No
550,Research & Development,Manufacturing Director,4810,No,10,3,2,0.04210260932266346, Low Risk,28860,No
551,Research & Development,Healthcare Representative,4523,No,6,4,4,0.07505483275634513, Low Risk,27138,No
554,Sales,Sales Representative,3202,Yes,5,2,3,0.7624814155996789, High Risk,19212,Yes
555,Sales,Sales Representative,2351,No,2,3,2,0.6565052899725714, High Risk,14106,Yes
556,Research & Development,Laboratory Technician,1702,Yes,1,4,3,0.21977804030408726, Low Risk,10212,No
558,Sales,Manager,18041,No,20,3,3,0.02980947953595188, Low Risk,108246,No
560,Research & Development,Research Scientist,2886,No,3,4,1,0.10516705886425784, Low Risk,17316,No
562,Research & Development,Laboratory Technician,2097,No,5,4,1,0.09953059277988471, Low Risk,12582,No
564,Research & Development,Research Director,11935,No,10,3,3,0.08640340475078606, Low Risk,71610,No
565,Research & Development,Research Scientist,2546,No,2,2,4,0.7734661598696678, High Risk,15276,Yes
566,Human Resources,Human Resources,2564,No,1,4,4,0.8723268072215808, High Risk,15384,Yes
567,Sales,Sales Executive,8412,No,9,1,3,0.17400348424174514, Low Risk,50472,No
568,Sales,Manager,14118,No,1,4,2,0.11464188329275556, Low Risk,84708,No
569,Research & Development,Manager,17046,No,27,3,3,0.06558082601188209, Low Risk,102276,No
571,Research & Development,Laboratory Technician,2564,No,11,4,2,0.077441488701208, Low Risk,15384,No
573,Sales,Sales Executive,10266,No,18,1,4,0.12636093003881632, Low Risk,61596,No
574,Research & Development,Manufacturing Director,5070,No,5,4,3,0.053947905255792995, Low Risk,30420,No
575,Research & Development,Research Director,17861,No,3,3,1,0.04416415730429379, Low Risk,107166,No
577,Research & Development,Laboratory Technician,4230,No,5,3,3,0.1463245273778344, Low Risk,25380,No
578,Research & Development,Laboratory Technician,3780,No,1,3,3,0.10983796786435952, Low Risk,22680,No
579,Research & Development,Research Scientist,2768,No,7,3,3,0.04152296845968733, Low Risk,16608,No
580,Sales,Sales Executive,9071,Yes,3,4,3,0.12995203592140395, Low Risk,54426,No
581,Research & Development,Manufacturing Director,10648,No,13,2,4,0.04040144818971096, Low Risk,63888,No
582,Research & Development,Manager,13610,Yes,7,3,4,0.6095510100849478, High Risk,81660,Yes
584,Research & Development,Laboratory Technician,3408,No,4,4,3,0.6057914605551479, High Risk,20448,Yes
585,Sales,Sales Representative,2983,No,3,2,3,0.19964437741657748, Low Risk,17898,No
586,Research & Development,Healthcare Representative,7632,Yes,8,3,3,0.14193751446438724, Low Risk,45792,No
587,Research & Development,Healthcare Representative,9824,No,1,3,3,0.7728303525020533, High Risk,58944,Yes
590,Human Resources,Human Resources,9950,Yes,3,1,3,0.6064177883570518, High Risk,59700,Yes
591,Research & Development,Laboratory Technician,2093,No,2,3,3,0.13309934699304135, Low Risk,12558,No
592,Sales,Sales Executive,9980,No,10,4,2,0.1425025727916579, Low Risk,59880,No
593,Research & Development,Laboratory Technician,3894,No,2,3,3,0.664611781217156, High Risk,23364,Yes
595,Sales,Sales Executive,4051,No,9,4,3,0.08788499156089356, Low Risk,24306,No
597,Sales,Manager,16835,No,10,2,3,0.10933314655591186, Low Risk,101010,No
599,Sales,Sales Executive,6230,No,14,4,3,0.06346883336014285, Low Risk,37380,No
600,Sales,Sales Executive,4717,No,11,3,3,0.1443909065954698, Low Risk,28302,No
601,Research & Development,Manufacturing Director,13237,No,20,3,3,0.05367922140765806, Low Risk,79422,No
602,Research & Development,Laboratory Technician,3755,No,8,3,3,0.15183489841610406, Low Risk,22530,No
604,Sales,Sales Executive,6582,Yes,6,4,4,0.21574456564656497, Low Risk,39492,No
605,Research & Development,Manufacturing Director,7406,Yes,10,1,2,0.11638950683389931, Low Risk,44436,No
606,Sales,Sales Executive,4805,No,8,2,4,0.07849971045041972, Low Risk,28830,No
608,Human Resources,Human Resources,2741,Yes,7,3,2,0.6996314196808836, High Risk,16446,Yes
611,Research & Development,Manufacturing Director,4262,No,3,4,4,0.11535433963620667, Low Risk,25572,No
612,Research & Development,Research Director,16184,No,6,3,3,0.07949296700894021, Low Risk,97104,No
613,Sales,Manager,11557,No,5,4,2,0.18247081548230903, Low Risk,69342,No
614,Sales,Sales Representative,1878,Yes,0,2,3,0.8937224329135364, High Risk,11268,Yes
615,Sales,Sales Executive,10932,No,1,1,3,0.175859682308243, Low Risk,65592,No
616,Research & Development,Healthcare Representative,6811,Yes,8,3,3,0.21136875031619826, Low Risk,40866,No
618,Sales,Sales Executive,4306,No,0,3,3,0.18343615800807567, Low Risk,25836,No
620,Sales,Sales Executive,4859,No,5,3,3,0.17744687679903104, Low Risk,29154,No
621,Sales,Sales Executive,5337,No,10,4,3,0.10705545735984298, Low Risk,32022,No
622,Research & Development,Laboratory Technician,2340,Yes,1,4,1,0.9283993864560282, High Risk,14040,Yes
623,Research & Development,Manufacturing Director,7491,No,6,4,4,0.06834411377751913, Low Risk,44946,No
624,Research & Development,Healthcare Representative,10527,No,2,3,2,0.15981214415476644, Low Risk,63162,No
625,Sales,Manager,16595,No,18,1,3,0.02881523556288135, Low Risk,99570,No
626,Sales,Sales Executive,8834,No,9,2,3,0.1291744819547314, Low Risk,53004,No
630,Research & Development,Research Scientist,5577,Yes,10,1,3,0.02215232101543254, Low Risk,33462,No
631,Sales,Sales Executive,4707,No,4,3,3,0.6427752795769937, High Risk,28242,Yes
632,Sales,Sales Representative,2400,No,2,4,3,0.14886048848445912, Low Risk,14400,No
634,Research & Development,Healthcare Representative,9824,No,1,3,3,0.1333254817368171, Low Risk,58944,No
635,Research & Development,Manufacturing Director,6447,No,6,2,2,0.060344762404795055, Low Risk,38682,No
638,Research & Development,Research Director,19502,Yes,31,3,3,0.03960744011181935, Low Risk,117012,No
639,Research & Development,Research Scientist,2725,Yes,6,4,3,0.3743407333094486, Medium Risk,16350,No
641,Sales,Sales Executive,6272,No,5,2,4,0.17419877731948546, Low Risk,37632,No
643,Research & Development,Laboratory Technician,2127,No,1,2,3,0.602356165480221, High Risk,12762,No
644,Human Resources,Manager,18200,No,32,2,3,0.09573896626035537, Low Risk,109200,No
645,Sales,Sales Representative,2096,No,7,3,3,0.17237373989018018, Low Risk,12576,No
647,Research & Development,Laboratory Technician,2886,Yes,6,3,3,0.6554907109765296, High Risk,17316,Yes
648,Sales,Sales Representative,2033,No,1,1,4,0.7864362859891046, High Risk,12198,Yes
649,Research & Development,Research Scientist,3622,Yes,6,4,3,0.1643229919145867, Low Risk,21732,No
650,Sales,Sales Executive,4233,No,3,1,1,0.6718149429473997, High Risk,25398,Yes
652,Research & Development,Laboratory Technician,3681,No,3,4,3,0.2894780454193282, Low Risk,22086,No
653,Sales,Sales Executive,5460,No,7,4,4,0.08932092122746763, Low Risk,32760,No
655,Research & Development,Research Scientist,2187,No,5,3,2,0.10504934822364881, Low Risk,13122,No
656,Sales,Sales Executive,9602,Yes,3,3,2,0.1861172691843766, Low Risk,57612,No
657,Research & Development,Research Scientist,2836,No,1,2,4,0.42626737569018663, Medium Risk,17016,No
659,Research & Development,Healthcare Representative,4089,No,10,4,3,0.06894427051446597, Low Risk,24534,No
661,Research & Development,Research Director,16627,Yes,1,4,2,0.06759067579905963, Low Risk,99762,No
662,Research & Development,Research Scientist,2619,No,0,1,2,0.19000754094012293, Low Risk,15714,No
663,Research & Development,Laboratory Technician,5679,Yes,8,3,3,0.06674590346757443, Low Risk,34074,No
664,Research & Development,Manager,15402,No,3,1,1,0.058148506350917485, Low Risk,92412,No
665,Human Resources,Human Resources,5985,No,2,3,4,0.10422476088782798, Low Risk,35910,No
666,Sales,Sales Representative,2579,Yes,8,3,3,0.19535112914619865, Low Risk,15474,No
667,Sales,Sales Representative,3041,No,4,1,3,0.5390376995672971, Medium Risk,18246,Yes
669,Sales,Sales Representative,3447,No,3,3,3,0.3605454924083771, Medium Risk,20682,No
671,Research & Development,Manager,19513,Yes,2,4,4,0.04898487382410236, Low Risk,117078,No
675,Research & Development,Research Scientist,2773,No,2,3,3,0.13213905266728546, Low Risk,16638,No
677,Sales,Sales Executive,7104,No,5,3,3,0.1087700849822873, Low Risk,42624,No
679,Research & Development,Research Scientist,6322,Yes,6,4,2,0.16468900593497196, Low Risk,37932,No
680,Research & Development,Research Scientist,2083,No,1,3,3,0.3515422771603813, Medium Risk,12498,No
682,Sales,Sales Executive,8381,No,14,1,4,0.16390722318519874, Low Risk,50286,No
683,Research & Development,Research Scientist,2691,No,10,4,2,0.06464250902272756, Low Risk,16146,No
684,Sales,Sales Executive,4286,No,1,1,3,0.6301620943567433, High Risk,25716,Yes
686,Research & Development,Laboratory Technician,2659,Yes,3,4,3,0.3352722099063966, Medium Risk,15954,No
689,Research & Development,Manufacturing Director,9434,No,10,3,3,0.07280745208515266, Low Risk,56604,No
690,Sales,Sales Executive,5561,No,6,3,2,0.0784848758989822, Low Risk,33366,No
691,Research & Development,Research Scientist,6646,No,17,4,3,0.09731178045022243, Low Risk,39876,No
692,Research & Development,Healthcare Representative,7725,No,13,4,1,0.05862833053392373, Low Risk,46350,No
698,Human Resources,Human Resources,10725,No,9,2,4,0.1221751588280385, Low Risk,64350,No
699,Research & Development,Manufacturing Director,8847,Yes,3,2,3,0.11948886107202253, Low Risk,53082,No
700,Research & Development,Research Scientist,2045,No,4,4,3,0.13719953606373414, Low Risk,12270,No
701,Research & Development,Research Scientist,1009,Yes,1,3,3,0.8160462066816077, High Risk,6054,Yes
702,Research & Development,Research Scientist,3348,Yes,10,1,3,0.4648494143589641, Medium Risk,20088,Yes
704,Research & Development,Laboratory Technician,1281,No,1,3,3,0.18576648270631058, Low Risk,7686,No
705,Research & Development,Research Scientist,2819,No,3,1,4,0.14503033198362825, Low Risk,16914,No
707,Sales,Sales Executive,4851,No,3,2,3,0.06633075338419274, Low Risk,29106,No
709,Sales,Sales Executive,4028,No,7,4,3,0.09835002728380732, Low Risk,24168,No
710,Research & Development,Research Scientist,2720,No,10,4,3,0.06591180442342034, Low Risk,16320,No
712,Sales,Sales Executive,8120,No,2,2,3,0.10886269296618532, Low Risk,48720,No
714,Sales,Sales Executive,4647,Yes,6,4,3,0.05777456750804442, Low Risk,27882,No
715,Research & Development,Research Scientist,4680,No,1,4,3,0.16150854808042017, Low Risk,28080,No
716,Research & Development,Laboratory Technician,3221,Yes,20,3,3,0.0925907066708324, Low Risk,19326,No
717,Research & Development,Healthcare Representative,8621,No,8,2,4,0.08463568977756136, Low Risk,51726,No
720,Sales,Sales Executive,4577,No,2,3,3,0.398825979423737, Medium Risk,27462,Yes
721,Research & Development,Healthcare Representative,4553,No,20,3,3,0.0669207838792708, Low Risk,27318,No
722,Sales,Sales Executive,5396,No,10,4,2,0.10652328445053895, Low Risk,32376,No
723,Sales,Sales Executive,6796,Yes,4,3,3,0.5911741070807354, Medium Risk,40776,Yes
724,Research & Development,Healthcare Representative,7625,No,9,4,2,0.029397482626317015, Low Risk,45750,No
725,Research & Development,Manufacturing Director,7412,No,9,1,3,0.11987431586221112, Low Risk,44472,No
727,Research & Development,Research Director,11159,No,7,4,3,0.052173246340140124, Low Risk,66954,No
728,Sales,Sales Executive,4960,No,7,1,3,0.1318307930140434, Low Risk,29760,No
729,Sales,Sales Executive,10475,Yes,18,1,3,0.11049193553365616, Low Risk,62850,No
730,Research & Development,Research Director,14814,No,5,3,3,0.0247581422862601, Low Risk,88884,No
731,Human Resources,Manager,19141,No,21,4,2,0.05397760635853496, Low Risk,114846,No
732,Sales,Sales Executive,5405,No,2,1,3,0.20414345960304064, Low Risk,32430,No
733,Research & Development,Manufacturing Director,8793,No,9,1,2,0.08987876622578249, Low Risk,52758,No
734,Human Resources,Manager,19189,No,22,3,3,0.03269093428747302, Low Risk,115134,No
738,Sales,Sales Representative,3875,No,2,2,3,0.11189013599425365, Low Risk,23250,No
741,Research & Development,Research Scientist,2216,Yes,7,2,3,0.7709387348073542, High Risk,13296,Yes
742,Research & Development,Research Director,11713,No,8,1,3,0.08876804449103122, Low Risk,70278,No
743,Research & Development,Manufacturing Director,7861,Yes,1,3,4,0.1339385200272252, Low Risk,47166,No
744,Research & Development,Laboratory Technician,3708,No,5,3,3,0.3525631962388553, Medium Risk,22248,No
746,Sales,Sales Executive,13770,Yes,22,3,2,0.10713861897047196, Low Risk,82620,No
747,Sales,Sales Executive,5304,No,8,4,2,0.12409766306635422, Low Risk,31824,No
749,Sales,Sales Representative,2642,No,1,3,3,0.29776570858646406, Low Risk,15852,No
752,Research & Development,Research Scientist,2759,Yes,2,3,3,0.363058496118608, Medium Risk,16554,Yes
754,Sales,Sales Executive,6804,No,2,4,3,0.15059767179564648, Low Risk,40824,No
757,Research & Development,Healthcare Representative,6142,No,5,3,3,0.07179780752221533, Low Risk,36852,No
758,Research & Development,Laboratory Technician,2500,No,4,1,4,0.14181044481308064, Low Risk,15000,No
760,Human Resources,Human Resources,6389,No,8,2,1,0.11456032097550511, Low Risk,38334,No
762,Research & Development,Healthcare Representative,11103,No,10,4,2,0.08866056245181288, Low Risk,66618,No
763,Research & Development,Research Scientist,2342,Yes,4,4,2,0.2217605362692227, Low Risk,14052,No
764,Research & Development,Healthcare Representative,6811,No,7,1,1,0.14662924087183044, Low Risk,40866,No
766,Sales,Sales Representative,2297,No,2,2,3,0.1550512014916833, Low Risk,13782,No
769,Research & Development,Laboratory Technician,2450,No,2,4,3,0.06900549877708298, Low Risk,14700,No
771,Research & Development,Healthcare Representative,5093,No,1,1,4,0.18927601987780032, Low Risk,30558,No
772,Research & Development,Laboratory Technician,5309,No,10,4,3,0.1055128328232276, Low Risk,31854,No
773,Research & Development,Research Scientist,3057,Yes,1,3,1,0.3409862442459023, Medium Risk,18342,No
775,Research & Development,Manufacturing Director,5121,No,0,1,3,0.1330436310666375, Low Risk,30726,No
776,Sales,Manager,16856,No,34,1,4,0.09829905925338837, Low Risk,101136,No
780,Research & Development,Research Scientist,2686,Yes,10,4,2,0.24596250297460587, Low Risk,16116,Yes
781,Sales,Sales Executive,6180,No,6,4,2,0.1616053897093159, Low Risk,37080,No
783,Sales,Sales Representative,6632,No,8,3,3,0.19414647780431935, Low Risk,39792,No
784,Research & Development,Research Scientist,3505,No,2,3,3,0.31070771500798766, Medium Risk,21030,No
785,Sales,Sales Executive,6397,Yes,5,3,3,0.6794896717850439, High Risk,38382,Yes
786,Sales,Sales Executive,6274,No,6,4,3,0.09622081164695725, Low Risk,37644,No
787,Research & Development,Manager,19859,Yes,5,1,3,0.5337691287323131, Medium Risk,119154,Yes
789,Sales,Sales Executive,7587,No,10,1,3,0.1364677763192444, Low Risk,45522,No
791,Research & Development,Research Scientist,4258,No,4,4,3,0.08388959502826512, Low Risk,25548,No
792,Research & Development,Laboratory Technician,4364,No,2,4,3,0.181995999467698, Low Risk,26184,No
793,Research & Development,Healthcare Representative,4335,No,8,3,2,0.15047508038944737, Low Risk,26010,No
796,Sales,Sales Executive,5326,No,4,1,2,0.6746588773292342, High Risk,31956,Yes
797,Research & Development,Research Scientist,3280,No,4,4,3,0.1031754516651079, Low Risk,19680,No
799,Research & Development,Manufacturing Director,5485,Yes,5,1,3,0.10644600946853605, Low Risk,32910,No
800,Sales,Sales Executive,4342,No,4,4,3,0.12894131130765654, Low Risk,26052,No
802,Research & Development,Research Scientist,2782,Yes,5,1,2,0.22714520862199528, Low Risk,16692,No
803,Research & Development,Manufacturing Director,5980,Yes,15,1,3,0.17316935674834977, Low Risk,35880,No
804,Research & Development,Research Scientist,4381,No,6,1,3,0.13175724452779228, Low Risk,26286,No
805,Sales,Sales Representative,2572,No,3,4,2,0.097492163595754, Low Risk,15432,No
806,Research & Development,Laboratory Technician,3833,No,2,3,3,0.18021918717118268, Low Risk,22998,No
807,Research & Development,Healthcare Representative,4244,No,8,2,3,0.07045799968478673, Low Risk,25464,No
808,Sales,Sales Executive,6500,No,3,1,3,0.13389174357198233, Low Risk,39000,No
809,Research & Development,Manager,18430,No,24,4,2,0.034048986530043235, Low Risk,110580,No
811,Research & Development,Laboratory Technician,1601,Yes,0,1,3,0.7991407897564513, High Risk,9606,Yes
812,Research & Development,Laboratory Technician,2694,No,1,2,3,0.26524572771239857, Low Risk,16164,No
813,Research & Development,Laboratory Technician,3149,No,5,3,3,0.05179721004559002, Low Risk,18894,No
815,Research & Development,Research Director,17639,No,4,3,3,0.03888136488826961, Low Risk,105834,No
816,Research & Development,Laboratory Technician,2319,Yes,1,1,3,0.8549340513560807, High Risk,13914,Yes
817,Research & Development,Research Director,11691,No,13,3,4,0.10093009536842806, Low Risk,70146,No
819,Sales,Sales Executive,5324,No,3,1,3,0.744426172314232, High Risk,31944,Yes
820,Research & Development,Manager,16752,Yes,26,4,2,0.060160087616788455, Low Risk,100512,No
823,Research & Development,Manufacturing Director,5228,No,9,2,3,0.07474144654874303, Low Risk,31368,No
824,Research & Development,Research Scientist,2700,No,10,3,3,0.08442989361792082, Low Risk,16200,No
825,Research & Development,Research Director,19246,Yes,31,2,3,0.6272238527283641, High Risk,115476,Yes
